Date,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2016-10-13,829.280029,361.899994,42.897362,74.149086,81.267555,99.730003,804.080017,778.190002,36.169998,135.419174
2016-10-14,822.960022,361.720001,43.424137,74.863937,81.843285,100.059998,804.599976,778.530029,36.599998,134.673935
2016-10-17,812.950012,361.149994,43.26511,74.922699,81.545494,99.849998,806.840027,779.960022,36.580002,134.615097
2016-10-18,817.650024,365.940002,43.911156,74.854156,80.979683,100.059998,821.48999,795.26001,37.299999,134.958313
2016-10-19,817.690002,368.51001,43.523529,75.059799,82.20063,99.809998,826.840027,801.5,37.52,134.732758
2016-10-20,810.320007,367.980011,44.050304,74.354729,81.892906,99.650002,821.630005,796.969971,37.650002,134.644501
2016-10-21,818.98999,369.910004,44.268967,73.933655,81.744026,99.160004,824.059998,799.369995,37.639999,134.07576
2016-10-24,838.090027,372.109985,45.193306,74.325348,82.557983,100.510002,835.73999,813.109985,37.810001,134.987717
2016-10-25,835.179993,373.220001,44.785801,74.198044,81.426376,99.720001,828.549988,807.669983,37.610001,137.037155
2016-10-26,822.590027,367.910004,44.169571,69.487839,81.148438,99.989998,822.099976,799.070007,37.400002,138.53743
2016-10-27,818.359985,351.559998,43.453957,68.900284,81.317177,96.75,817.349976,795.349976,36.880001,133.634506
2016-10-28,776.320007,354.970001,43.056389,67.1866,81.614975,98.330002,819.559998,795.369995,36.900002,134.52684
2016-10-31,789.820007,357.279999,42.907299,68.34211,81.90284,98.480003,809.900024,784.539978,36.790001,133.958099
2016-11-01,785.409973,347.709991,42.340767,67.754562,81.019394,98.559998,805.47998,783.609985,36.82,132.457794
2016-11-02,765.559998,346.170013,42.340767,67.558708,79.987038,98.660004,788.419983,768.700012,36.799999,132.644104
2016-11-03,767.030029,338.709991,43.106083,68.988419,80.056526,98.110001,782.190002,762.130005,36.16,131.536041
2016-11-04,755.049988,340.519989,41.446247,69.213654,79.768661,97.93,781.099976,762.02002,35.529999,130.388748
2016-11-07,784.929993,350.140015,40.839958,70.124359,81.90284,99.559998,802.030029,782.52002,35.73,133.271698
2016-11-08,787.75,356.25,40.760445,69.781616,82.270119,100.169998,811.97998,790.51001,35.599998,133.860031
2016-11-09,771.880005,347.929993,39.905682,69.566185,82.627464,100.510002,805.590027,785.309998,35.41,143.862045
2016-11-10,742.380005,330.799988,38.464504,68.821945,81.267555,99.800003,780.289978,762.559998,35.310001,144.842636
2016-11-11,739.01001,325.049988,39.170181,68.107094,81.277473,100.540001,771.75,754.02002,35.490002,145.381943
2016-11-14,719.070007,330.200012,37.540161,69.282188,77.803223,100.120003,753.219971,736.080017,34.990002,146.823395
2016-11-15,743.23999,336.339996,38.295536,69.693489,77.991837,101.540001,775.159973,758.48999,34.75,144.430771
2016-11-16,746.48999,335.980011,38.732861,69.899124,79.658012,103.209999,779.97998,764.47998,34.950001,143.322708
2016-11-17,756.400024,331.140015,39.696957,70.447517,80.642792,105.059998,786.159973,771.22998,35.400002,142.146011
2016-11-18,760.159973,333.23999,38.156387,69.115723,80.394119,104.290001,775.969971,760.539978,34.939999,143.205032
2016-11-21,780.0,335.940002,38.196144,68.792572,81.259529,105.440002,784.799988,769.200012,35.82,143.26387
2016-11-22,785.330017,343.959991,36.94381,70.192902,79.508797,106.309998,785.0,768.27002,36.009998,144.891647
2016-11-23,780.119995,338.209991,37.033264,69.742447,79.150696,107.599998,779.0,760.98999,35.470001,145.009323
2016-11-25,780.369995,339.76001,36.993511,70.222275,79.707733,107.230003,780.22998,761.679993,35.470001,145.666306
2016-11-28,766.77002,341.230011,37.142593,71.064438,78.663284,106.610001,785.789978,768.23999,35.82,146.009506
2016-11-29,762.52002,343.390015,37.719067,71.436554,78.73291,106.540001,789.440002,770.840027,35.639999,147.617691
2016-11-30,750.570007,338.76001,36.387222,70.565025,76.912552,104.620003,775.880005,758.039978,35.939999,146.6371
2016-12-01,743.650024,329.420013,35.363491,69.70327,75.032516,103.32,764.330017,747.919983,35.110001,146.342926
2016-12-02,740.340027,330.679993,35.492695,70.232071,75.320984,103.370003,764.460022,750.5,34.880001,147.009705
2016-12-05,759.359985,332.079987,36.258011,71.610909,76.902603,103.629997,778.219971,762.52002,34.900002,146.176224
2016-12-06,764.719971,329.48999,36.476673,72.103348,76.703651,103.25,776.179993,759.109985,35.119999,146.22525
2016-12-07,770.419983,339.0,37.222111,72.201843,78.892067,104.82,791.469971,771.190002,35.279999,145.999725
2016-12-08,767.330017,346.459991,37.162472,72.566246,78.862221,104.709999,795.169983,776.419983,35.720001,143.322708
2016-12-09,768.659973,346.029999,36.566124,71.522278,78.722961,104.790001,809.450012,789.289978,35.700001,143.460007
2016-12-12,760.119995,357.220001,36.94381,71.610909,78.086334,104.82,807.900024,789.27002,35.759998,141.018326
2016-12-13,774.340027,361.390015,37.092899,71.453331,78.782646,106.099998,815.340027,796.099976,35.419998,139.645508
2016-12-14,768.820007,354.589996,36.51643,70.694969,78.713005,106.029999,817.890015,797.070007,34.490002,140.067154
2016-12-15,761.0,349.809998,36.764908,70.645729,79.081062,107.269997,815.650024,797.849976,34.689999,139.851425
