Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2016-11-28,125.709999,30.346182,136.559998,99.649826,28.57,101.140366,28.887243,60.011475,72.351868,57.366718
2016-11-29,127.720001,30.711798,137.630005,99.847374,28.51,102.548683,28.80035,60.390186,71.794487,59.421738
2016-11-30,125.849998,30.92347,134.570007,99.264626,27.809999,101.021355,28.790695,59.419125,71.393562,58.659546
2016-12-01,123.650002,30.269209,133.710007,96.054573,27.389999,98.968407,28.433468,59.001572,70.288589,57.077282
2016-12-02,124.480003,30.432774,134.729996,96.420029,28.42,99.375023,28.240372,59.360867,70.415703,57.33778
2016-12-05,125.25,30.394289,134.830002,95.639732,28.35,100.594894,28.510706,58.506332,70.083237,58.717434
2016-12-06,125.110001,30.365425,138.880005,95.718758,28.209999,103.748718,28.31761,58.535461,70.513496,59.450676
2016-12-07,126.379997,30.00943,136.669998,96.696579,28.91,103.56028,28.91621,58.321831,70.621056,57.878063
2016-12-08,127.059998,29.768894,138.070007,96.864494,29.42,103.590027,28.91621,58.380089,70.47438,58.756027
2016-12-09,127.790001,30.500126,139.509995,98.543594,29.969999,104.353699,29.022411,59.45797,71.726036,59.373497
2016-12-12,129.149994,31.17363,139.440002,97.062035,30.209999,104.938828,29.128614,59.933788,72.078072,59.855896
2016-12-13,129.610001,31.587357,139.589996,98.276917,29.82,105.851265,29.534119,60.462189,71.74559,59.807652
2016-12-14,127.349998,31.577732,138.399994,96.252113,29.82,104.006569,29.408604,60.47197,71.677147,59.49892
2016-12-15,127.379997,31.51038,137.5,95.570602,29.73,101.804848,29.572737,61.029716,71.814049,59.836597
